标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡),面积_数值,总价_数值,单价_数值,建造年份_数值,房间数
大红本过户！中海锦城 带家私电 急急！！业主全包 无抵押无欠,3室2厅2卫,87.98㎡,南,中层(共39层),2020年建造,中海锦城,龙华,民治,腾龙路,"南,满五年,近地铁,车位充足",460.0,52285元/㎡,87.98,460.0,52285.0,2020.0,3.0
信义御城(一期) 业主好说话商业配套齐全 刚需小三居 有电梯,3室2厅2卫,109㎡,南,低层(共33层),2014年建造,信义御城(一期),龙岗,横岗,"松茂路,近松柏路","南,满五年,近地铁",228.0,20918元/㎡,109.0,228.0,20918.0,2014.0,3.0
倚山花园小高层，泰式园林，居住安静大面积4房，车位足足的,4室2厅2卫,136.91㎡,南北,低层(共12层),2004年建造,新世界倚山花园,盐田,沙头角,梧桐路1968号,"南北,满五年,近地铁,车位充足",540.0,39442元/㎡,136.91,540.0,39442.0,2004.0,4.0
超高的使用率，看海景两房，高层采光好，干净，随时安排,2室2厅1卫,62.42㎡,西北,中层(共27层),2010年建造,阳光花地苑,南山,前海,前海路1082号,"西北,满五年,近地铁",356.0,57034元/㎡,62.42,356.0,57034.0,2010.0,2.0
sym12月实拍封面四阳台，租户住出了新格调，12开头可得,4室2厅2卫,159.29㎡,南北,低层(共33层),2011年建造,波托菲诺香山里,南山,华侨城,侨北三街8号,"南北,满五年,近地铁,采光较好",1266.0,79478元/㎡,159.29,1266.0,79478.0,2011.0,4.0
2024次新 领包入住 居家精装 北欧原木风格,2室2厅1卫,61.86㎡,西南,低层(共32层),2024年建造,尚悦府,福田,沙嘴,沙嘴中心街47号,"西南,满二年,近地铁,次新房",475.0,76787元/㎡,61.86,475.0,76787.0,2024.0,2.0
政府信任背书换房易，超急卖！产权清晰，看房随时,3室2厅2卫,110.28㎡,南北,中层(共30层),2021年建造,金众麒麟公馆,南山,大学城,沁园二路,"南北,近地铁,次新房,采光较好",718.0,65108元/㎡,110.28,718.0,65108.0,2021.0,3.0
万科新上！福外本部小洋房~精致新上。拎包住，小区总价,3室2厅1卫,84.66㎡,南,低层(共9层),1997年建造,万科城市花园,福田,景田北,香梅路2038号,"南,满五年,近地铁",799.0,94378元/㎡,84.66,799.0,94378.0,1997.0,3.0
宝安~深航幸福花园~自住装修~客厅朝南~落地窗,3室2厅2卫,90㎡,南,高层(共28层),2006年建造,深航幸福花园,宝安,塘尾,荔园路,"南,满五年,近地铁",235.0,26112元/㎡,90.0,235.0,26112.0,2006.0,3.0
出国急出，锦绣花园东南向大三房满五  税低，看房我有密码。,3室2厅2卫,117㎡,南北,低层(共33层),1998年建造,锦绣花园(南山一期),南山,华侨城,深南大道9002号,"南北,满五年,近地铁,采光较好",650.0,55556元/㎡,117.0,650.0,55556.0,1998.0,3.0
性价比房源，业主诚心出售.,2室2厅2卫,94.77㎡,东北,中层(共48层),2009年建造,幸福里,罗湖,蔡屋围,宝安南路1661号,"东北,满五年,近地铁,车位充足",640.0,67532元/㎡,94.77,640.0,67532.0,2009.0,2.0
私家露台，汇城茗院通透户型大四房，2梯3户，1：1.5车位比,4室2厅2卫,120.56㎡,东南,低层(共40层),2023年建造,汇城茗院,南山,大学城,西丽湖路,"东南,满二年,近地铁,次新房",1080.0,89582元/㎡,120.56,1080.0,89582.0,2023.0,4.0
业主急出！房子的装修保养好，阳台也很大,3室2厅2卫,88.47㎡,东北,低层(共31层),2009年建造,金港华庭,宝安,西乡,宝安大道4009号,"东北,满五年,近地铁",360.0,40692元/㎡,88.47,360.0,40692.0,2009.0,3.0
新上！30 全屋定制精装，换房业主急售，看房方便,2室2厅1卫,66㎡,东北,中层(共18层),1999年建造,海滨广场(福田),福田,皇岗,福强路1040号,"东北,满五年,近地铁,绿化率高",243.0,36819元/㎡,66.0,243.0,36819.0,1999.0,2.0
双地铁口，品质社区，带空中花园。,2室2厅1卫,61.32㎡,西,高层(共32层),2001年建造,彩天名苑,福田,岗厦,彩田南路3016号,"西,满五年,近地铁,采光较好",360.0,58709元/㎡,61.32,360.0,58709.0,2001.0,2.0
业主不要房了。只要钱。只要你您还还价即成交 怡景花园,3室1厅1卫,61.62㎡,南,中层(共6层),1985年建造,怡景花园(罗湖),罗湖,黄贝岭,怡景路2003号,"南,满五年,近地铁,车位充足",275.0,44629元/㎡,61.62,275.0,44629.0,1985.0,3.0
政府换房易 自带商业地铁通勤30  前海福田 精装修三居室,3室2厅2卫,114.09㎡,南,高层(共32层),2015年建造,塘朗城,南山,大学城,留仙大道3333号,"南,满五年,近地铁",620.0,54344元/㎡,114.09,620.0,54344.0,2015.0,3.0
看房可安排，成交多，  熟悉且安全到位,3室2厅1卫,85.58㎡,南北,中层(共7层),1997年建造,景蜜村,福田,景田北,景田北三街,"南北,满五年,近地铁,绿化率高",384.0,44871元/㎡,85.58,384.0,44871.0,1997.0,3.0
鹏益花园两房，业主诚心出售,2室1厅1卫,60.77㎡,东南,中层(共22层),1994年建造,鹏益花园,福田,八卦岭,八卦一路183号,"东南,有电梯,近地铁,绿化率高",248.0,40810元/㎡,60.77,248.0,40810.0,1994.0,2.0
新上房源业主急出！龙岗  ，星河时代南北通透精装五房，可谈！,5室2厅2卫,163㎡,南北,中层(共32层),2011年建造,星河时代,龙岗,大运,爱南路666号,"南北,满五年,近地铁,车位充足",720.0,44172元/㎡,163.0,720.0,44172.0,2011.0,5.0
慢城(一二三期) 正规商品房 满五 双卫 电梯房 临地铁,4室2厅2卫,113.58㎡,南,低层(共32层),2006年建造,慢城(一二三期),布吉,慢城,科技园路8号,"南,满五年,近地铁,采光较好",420.0,36979元/㎡,113.58,420.0,36979.0,2006.0,4.0
实拍璟荟名庭3房，一百六出手，送家私电，红本住宅，楼下地铁口,3室2厅2卫,79㎡,南北,高层(共26层),2022年建造,璟荟名庭,宝安,松岗,福祥路,"南北,满五年,次新房,人气热搜",228.0,28861元/㎡,79.0,228.0,28861.0,2022.0,3.0
实用三百平，4房3套间，2梯1户，业主工作调动急售,4室2厅3卫,185.4㎡,南北,低层(共32层),2010年建造,阳光天下花园(阳基天御山),福田,下梅林,龙尾路6号,"南北,满五年,近地铁,车位充足",1320.0,71198元/㎡,185.4,1320.0,71198.0,2010.0,4.0
24年新房，福田zhong心区，购物公园就在旁边,4室2厅2卫,138㎡,南北,高层(共36层),2024年建造,佳兆业佳园,福田,福田中心区,中心二路1号,"南北,满二年,近地铁,次新房",1065.0,77174元/㎡,138.0,1065.0,77174.0,2024.0,4.0
盛世鹏程2 1房，花园泳池大社区，环境优越，看房方便,3室2厅1卫,77.54㎡,南,低层(共33层),2005年建造,盛世鹏程花园,福田,上步,八卦一路,"南,满五年,近地铁,绿化率高",480.0,61904元/㎡,77.54,480.0,61904.0,2005.0,3.0
福田旁102平电梯大三房，2XX万卖，东南向，视野,3室2厅1卫,102㎡,南北,中层(共32层),1992年建造,红岗大厦,罗湖,泥岗,红岗路1003号,"南北,满五年,近地铁,车位充足",263.0,25785元/㎡,102.0,263.0,25785.0,1992.0,3.0
星河时代花园，方正户型，通风采光佳，地面花园，人车分流,4室2厅3卫,151.55㎡,南,高层(共32层),2011年建造,星河时代,龙岗,大运,爱南路666号,"南,满五年,近地铁,车位充足",712.0,46982元/㎡,151.55,712.0,46982.0,2011.0,4.0
南山新房国补低至85折，山海奢宅XX！来电咨询详情折扣,4室2厅2卫,112㎡,西南,,2028年建造,天健湾时代府,南山,蛇口,赤湾六路与赤湾三路交汇处西北侧,"厨卫全明,私密性好,卧室全朝南,多轨交",914.0,81608元/㎡,112.0,914.0,81608.0,2028.0,4.0
1字头就能上车了，现房随时安排了。,1室0厅1卫,38㎡,南,,2024年建造,京基智农山海尚寓,宝安,西乡,宝安大道4568号,"卧室全朝南,玄关入户,动静分离,轨交房",133.0,35000元/㎡,38.0,133.0,35000.0,2024.0,1.0
地段超核心福田中轴必看新规住宅 来电折上折 精装修看山景,3室2厅2卫,92㎡,东,,2028年建造,卓越缦悦,福田,福田中心区,福民路38号,"厨卫全明,私密性好,卧室全朝南,多轨交",1058.0,115000元/㎡,92.0,1058.0,115000.0,2028.0,3.0
嘉信云峰公馆花园小区，交通非常便利，地铁6号线上屋站300,3室2厅1卫,75.9㎡,南,高层(共45层),2020年建造,嘉信云峰公馆,宝安,石岩,横坑工业大道2号,"南,满五年,近地铁,次新房",230.0,30304元/㎡,75.9,230.0,30304.0,2020.0,3.0
急！急！急！地铁口业主诚心卖采光好,3室2厅2卫,111.46㎡,南,低层(共30层),2003年建造,俊景豪园,福田,景田北,香梅路2002号,"南,满五年,近地铁,采光较好",615.0,55177元/㎡,111.46,615.0,55177.0,2003.0,3.0
富安花园~电梯房~正规3居室~带独立客厅~出行方便~有钥匙,3室2厅2卫,89㎡,南北,低层(共7层),2018年建造,富安花园,光明,光明,华夏路36号,"南北,满五年,近地铁,多人关注",80.0,8989元/㎡,89.0,80.0,8989.0,2018.0,3.0
石厦北精装好房 四房2厅2卫格局南北通透中间楼层采光好,4室2厅2卫,129.13㎡,南北,中层(共7层),1998年建造,信托花园,福田,石厦,石厦北一街10号,"南北,满五年,近地铁",888.0,68768元/㎡,129.13,888.0,68768.0,1998.0,4.0
正规商品房 满五   有电梯 小三居 双卫格局 房龄新,3室2厅2卫,88.64㎡,南,高层(共39层),2015年建造,万科麓城三期,布吉,上水径,布龙路,"南,满五年,近地铁,采光较好",350.0,39486元/㎡,88.64,350.0,39486.0,2015.0,3.0
深铁瑞城 南向采光好 刚需三居 商品住宅 临地铁 双卫,3室2厅2卫,94.21㎡,南,低层(共11层),2021年建造,深铁瑞城,光明,光明,光侨路,"南,满二年,近地铁,次新房",365.0,38744元/㎡,94.21,365.0,38744.0,2021.0,3.0
民治大社区大两房，厅出阳台，家门口地铁，配套齐全，急售好房！,2室2厅1卫,66.73㎡,南北,高层(共6层),2003年建造,世纪春城(一期),龙华,民治,民田路275号,"南北,满二年,近地铁,车位充足",268.0,40162元/㎡,66.73,268.0,40162.0,2003.0,2.0
福田必看房，配套齐全，地铁，医院，  ，公园商超都在家门口。,3室2厅1卫,88㎡,南北,低层(共43层),2023年建造,华富村,福田,华强北,华富路,"南北,满五年,近地铁,次新房",705.0,80114元/㎡,88.0,705.0,80114.0,2023.0,3.0
290上车市中心上下复式还带大露台！这个性价比我是,2室2厅2卫,122.75㎡,南,高层(共29层),2000年建造,大信大厦,罗湖,蔡屋围,宝安南路2066号,"南,唯一住房,近地铁",290.0,23626元/㎡,122.75,290.0,23626.0,2000.0,2.0
丽景城低密度花园社区，高得房率温馨4居室，停车方便，价格美丽,4室2厅2卫,96.63㎡,南,中层(共19层),2002年建造,丽景城,宝安,西乡,前进二路100号,"南,热门小区,近地铁,房东急售",499.0,51641元/㎡,96.63,499.0,51641.0,2002.0,4.0
布吉大社区信义菁华园31户型业主自己住看房方便,3室2厅2卫,115㎡,南北,高层(共11层),2007年建造,信义假日名城菁华园,布吉,百鸽笼,百鸽路234号,"南北,近地铁,采光较好",416.0,36174元/㎡,115.0,416.0,36174.0,2007.0,3.0
豪华装修  坪山大学城  高楼层河景184平大平层四房,4室2厅2卫,184.39㎡,南北,高层(共33层),2013年建造,竹韵花园,坪山,坪山,竹坳路3号,"南北,房东发布,满五年,近地铁",313.0,16975元/㎡,184.39,313.0,16975.0,2013.0,4.0
翠岭华庭~中楼层电梯房~停车充足~双卫~小区绿化高~密度低,4室2厅2卫,109㎡,南北,低层(共30层),2016年建造,翠岭华庭,龙华,龙华,新区大道3号,"南北,满五年,近地铁,多人关注",235.0,21560元/㎡,109.0,235.0,21560.0,2016.0,4.0
华强大佬必看，华富村精装四房看公园，随时帮您约好看房,4室2厅2卫,119.68㎡,南北,高层(共43层),2023年建造,华富村,福田,华强北,华富路,"南北,满五年,近地铁,次新房",998.0,83390元/㎡,119.68,998.0,83390.0,2023.0,4.0
4字头3房2卫，朝东南香港，使用率高，中间楼层，采光好。,3室2厅2卫,97㎡,东,中层(共31层),2007年建造,金地名津,福田,福田口岸,裕亨路3号,"东,满五年,近地铁,绿化率高",468.0,48248元/㎡,97.0,468.0,48248.0,2007.0,3.0
御龙天地 翠竹  新房  东西通透高层 采光充足  双卫,3室2厅2卫,115㎡,东,高层(共56层),2021年建造,御龙天地,罗湖,翠竹,华丽路,"东,热门小区,新上小区,满五",636.0,55305元/㎡,115.0,636.0,55305.0,2021.0,3.0
南山科技园附近一手新房，新规后住宅，总价3字头带精装,2室2厅1卫,65.39㎡,南,,2027年建造,珑秀公馆,福田,福田中心区,建瓴路南山建工村西南侧约140米,"客餐厅相连,南北通透,卧室全朝南,轨交房",400.0,61172元/㎡,65.39,400.0,61172.0,2027.0,2.0
福田CBD4佰买三房 一站式配套齐全 公务员社区 负责全深圳,3室2厅1卫,92.33㎡,北,低层(共24层),1995年建造,益田村,福田,益田村,益田路,"北,满五年,近地铁,采光较好",438.0,47439元/㎡,92.33,438.0,47439.0,1995.0,3.0
小高层中的  ，采光好到，能让你的多肉植物自信生长,4室2厅2卫,129.22㎡,西南,高层(共10层),2003年建造,天健世纪花园,福田,福田中心区,福中一路1013号,"西南,满五年,近地铁",960.0,74292元/㎡,129.22,960.0,74292.0,2003.0,4.0
感谢福田房价，去年   0没买现在11XX，高楼层视野开阔,4室2厅2卫,162.04㎡,南,中层(共33层),2003年建造,绿景蓝湾半岛,福田,沙嘴,福荣路20号,"南,满五年,近地铁,采光较好",1230.0,75908元/㎡,162.04,1230.0,75908.0,2003.0,4.0
侨香公馆 128万急售！附赠20平，可分期包税过户，送车位,3室2厅1卫,95㎡,南,低层(共37层),2014年建造,侨香公馆,福田,香蜜湖,侨香路3028号,"南,满五年,近地铁,绿化率高",272.0,28632元/㎡,95.0,272.0,28632.0,2014.0,3.0
2015年后没有出现过的价格，性价比很高，星海名城一期大2房,2室2厅1卫,70.48㎡,南,低层(共9层),2001年建造,星海名城(一期),南山,前海,前海路3101号,"南,热门小区,房东急售,随时可看",385.0,54626元/㎡,70.48,385.0,54626.0,2001.0,2.0
南山意境~中层~小区安静舒适~明厨~明卫~南北户型,3室2厅2卫,105㎡,南北,低层(共32层),2000年建造,南山意境,南山,南头,南青路18号,"南北,满五年,近地铁,多人关注",354.0,33715元/㎡,105.0,354.0,33715.0,2000.0,3.0
"17年次新小区业主急售21X,感兴趣直接电话约看房",3室2厅2卫,92㎡,南北,中层(共32层),2017年建造,岚峰,南山,西丽,龙苑路3号,"南北,满五年,近地铁,车位充足",260.0,28261元/㎡,92.0,260.0,28261.0,2017.0,3.0
业主急售好房，12号线福围站旁，万科精装3房，家门口9年校园,3室2厅1卫,87.17㎡,南,低层(共15层),2011年建造,万科金色领域,宝安,福永,宝安大道6054号,"南,满五年,近地铁,采光较好",375.0,43020元/㎡,87.17,375.0,43020.0,2011.0,3.0
笔架山脚下 欧式园林 电梯小高层 居住环境   适合居住,4室2厅2卫,137.39㎡,西南,低层(共14层),2000年建造,依山居,福田,笔架山,梅岗路16号,"西南,满五年,近地铁,采光较好",630.0,45855元/㎡,137.39,630.0,45855.0,2000.0,4.0
左庭右院（北区）南北精装3室2厅76.22m,3室2厅1卫,76.22㎡,南北,高层(共11层),2006年建造,左庭右院(北区),布吉,丹竹头,布澜路4-2号,"南北,满五年,近地铁,绿化率高",258.0,33850元/㎡,76.22,258.0,33850.0,2006.0,3.0
福田带私家露台大五房，业主急卖给钥匙，专人委托泽佳出售,5室2厅3卫,119.94㎡,南北,高层(共14层),2001年建造,林海山庄,福田,下梅林,北环大道7020号,"南北,满五年,近地铁,绿化率高",678.0,56529元/㎡,119.94,678.0,56529.0,2001.0,5.0
资产处理！价格别太离谱就卖！,3室2厅2卫,107.3㎡,南北,低层(共21层),2002年建造,黄埔雅苑翠悠园,福田,福田中心区,福中路318号,"南北,满五年,近地铁,绿化率高",708.0,65984元/㎡,107.3,708.0,65984.0,2002.0,3.0
万达广场楼上，福城新纪元，精装3房2卫，中间楼层，随时看房,3室2厅2卫,86㎡,西北,中层(共29层),2018年建造,福城前海新纪元,宝安,新安,宝民一路,"西北,唯一住房,近地铁,户型方正",250.0,29070元/㎡,86.0,250.0,29070.0,2018.0,3.0
龙岗中心城小洋房复式五房，带院子的房子全新装修上下二层送一层,5室2厅3卫,121.72㎡,南北,共4层,2006年建造,招商依山郡,龙岗,龙岗中心城,黄阁路152号,"南北,满五年,近地铁,多人关注",360.0,29577元/㎡,121.72,360.0,29577.0,2006.0,5.0
N .3尚悦府正规三房 高层采光好 急售4-26,3室2厅1卫,100.1㎡,东南,高层(共31层),2024年建造,尚悦府,福田,沙嘴,沙嘴中心街47号,"东南,有电梯,近地铁,次新房",758.0,75725元/㎡,100.1,758.0,75725.0,2024.0,3.0
高楼层视野好 商业配套齐全 商品房 近地铁 交通便利 有电梯,2室2厅1卫,63.06㎡,北,高层(共15层),2003年建造,龙威花园,布吉,布吉关,京南路26号,"北,热门小区,南北通透,满五",190.0,30131元/㎡,63.06,190.0,30131.0,2003.0,2.0
17年次新小区，石芽岭地铁口，健康花园品质三房，换房价格可谈,3室2厅1卫,88.09㎡,西,中层(共33层),2016年建造,宇宏健康花城,布吉,丹竹头,布澜路7号,"西,满五年,近地铁,车位充足",420.0,47679元/㎡,88.09,420.0,47679.0,2016.0,3.0
总统筹      龙泉别墅 满五 精装可拎包入住 還价就卖,6室3厅3卫,260.67㎡,南北,共1层,2002年建造,龙泉别墅,布吉,丹竹头,龙岗大道,"南北,满五年,近地铁,绿化率高",1280.0,49105元/㎡,260.67,1280.0,49105.0,2002.0,6.0
